大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura
　　汝　怛嚩又悉怛縛又怛縛也　tva蒪sitva蒪tvayā

　　委寄　毘輸嚩娑儞覩　viśuvasanitu

　　乞　毘厥數迦　bhikṣuka

　　我許　麼銘羅　mamera

　　彼許　怛娑計(二合)羅　taskera

　　強　嚩攞　vara

　　劣　薩縛刺跛　svalapa

　　羸　納喇嚩攞　durvala

　　自　阿波拏又阿怛麼　apaṇa蒪atma

　　他人　波(引)羅麼拏史也　pāramanuṣya

　　數　誐抳多　gaṇita

　　算　比拏多　piṇata

　　幾　計底(丁以反)　keti

　　各各　薩嚩迦薩嚩迦　svaka揨

　　限　鉢縛(二合)麼(引)拏　pvamāṇa

　　最初　鉢羅他門　prathamuṃ

　　盡　訖叉庾　　kṣayu

　　全　阿羅駄(二合)(引)　ardvā

　　欠　奧拏　oṇa

　　單　計攞嚩　kelava

　　雙　瘦誐攞　yugara

　　一　翳迦　eka

　　二　那尾底　niviti

　　三　咥哩(二合)拏　triṇa

　　四　折怛嚩(二合)哩　catvari

　　五　半者　paṃca

　　六　殺瑟吒又殺吒哆　ṣaṣṭa蒪ṣaṭata

　　七　䬃鉢多　sapta

　　八　阿史吒(二合)　aṣṭa

　　九　那嚩　nava

　　十　捺捨　daśa

　　十一　翳迦捺舍　ekadaśa

　　十二　娜縛(二合)捺舍　ddhadaśa

　　十三　那羅庾捺舍　narayudaśa

　　十四　折覩羅(二合)捺舍　catradaśa

　　十五　半者捺舍　paṃcadaśa

　　十六　數捺舍　ṣudaśa

　　十七　䬃鉢多捺舍　saptadaśa

　　十八　阿史吒(二合)捺舍　aṣṭadaśa

　　十九　翳俱(引)拏尾舍　ekoṇaviśa

　　二十　尾舍　viśa

　　廿一　翳迦(引)尾舍　ekaviśa

　　廿二　那縛(二合)尾舍　ddhaviśa

　　廿三　怛羅(二合)庾(引)尾舍　trayuviśa

　　廿四　折都栗尾(二合)舍　catṛviśa

　　廿五　半者尾舍　paṃcaviśa

　　廿六　稍尾舍　ṣaviśa

　　廿七　䬃鉢多尾舍　saptaviśa

　　廿八　阿史吒尾舍　aṣṭaviśa

　　廿九　翳罽拏那(四十二合)舍　ekeṇaśa

　　三十　咥哩(二合)舍　triśa

　　四十　者怛嚩(二合)哩舍　catvariśa

　　五十　波娜縛(二合)(引)舍　pandhaśa

　　六十　𭣫瑟耻(二合)　ṣaṣṭi

　　七十　䬃鉢多底　saptati

　　八十　阿勢底　aṣeti

　　九十　那縛底或曩縛底也　navatinavatya

　　九十五　加半遮　kapaṃca

　　一百　設底或設多或設帝　śatiśataśate

　　一千　娑賀娑羅　sahasra

　　十萬　攞乞史(二合)億也　rakṣi

　　一萬　跛麼儞又鉢羅陛娜　pamani蒪prabhena

　　千萬　句𦙠　kuṭi

　　八千　麼瑟吒娑訶薩羅　maṣṭasahasra

　　八萬四千　折覩羅(四)阿始底(八十)娑訶薩羅(千)　catoraaṣitisahasra

　　十九千　曩嚩(九)始底(十)娑訶薩羅(千)　navaṣitisahasra

　　十二百　捺嚩(二合)那捨捨多(一千二百也)　dvādaśaśata

　　二萬　娜嚩尾捨底娜娑訶薩羅　navaviśatinasahasra

　　八十千　麼瑟吒娑訶薩羅　maṣṭasahasra

　　四八四　折覩室者覩　catuścatu

　　三八四　咥哩柘覩　tricatu

　　八萬四千　析覩羅悉底娑訶薩羅　caturaṣitisahasra

　　三七　咥哩䬃鉢多　trisapta

　　福　本𦙠　puṇya

　　功德　麌曩　guṇa

　　富　伊濕嚩(二合)囉　iśvara

